threshold,model_fp_rate,backup_target_fpr,time_taken_ms,time_per_query_ns,throughput_s,insert_count,negative_queries,false_negative,false_positive,observed_fpr,total_memory_mb,backup_key_count
0.05,0.11985588953540957,1e-09,159.1671,378.5510769055139,2641651,344928,75536,0,8733,0.11561374708748147,0.1356353759765625,2064
0.075,0.09906840724773132,1e-09,141.2923,336.038995015031,2975845,344928,75536,0,7145,0.09459065875873755,0.13897705078125,2715
0.1,0.0851397389128403,1e-09,141.1846,335.78284942349404,2978115,344928,75536,0,6120,0.08102097013344631,0.14203643798828125,3309
0.125,0.07383400162802617,1e-09,134.4691,319.8112085695803,3126844,344928,75536,0,5291,0.07004607074772294,0.1450042724609375,3887
0.15,0.06567879646658024,1e-09,149.5861,355.764346055786,2810849,344928,75536,0,4689,0.06207636094047871,0.14765167236328125,4402
0.175,0.059483252434502094,1e-09,140.7583,334.7689695193881,2987134,344928,75536,0,4232,0.05602626562169032,0.15036773681640625,4930
0.2,0.05456902529470289,1e-09,143.9068,342.25712546139505,2921779,344928,75536,0,3865,0.05116765515780555,0.15303802490234375,5449
0.22499999999999998,0.05022762217733426,1e-09,135.9622,323.36228547509415,3092506,344928,75536,0,3557,0.04709012920991315,0.15579986572265625,5987
0.25,0.04611233380566191,1e-09,139.8775,332.6741409490468,3005944,344928,75536,0,3252,0.04305231942385088,0.1586151123046875,6534
0.27499999999999997,0.0425849437727999,1e-09,144.8345,344.4634974694623,2903065,344928,75536,0,2993,0.03962349078585046,0.16155242919921875,7105
0.3,0.03982634387530525,1e-09,150.6181,358.21877735073633,2791590,344928,75536,0,2794,0.036988985384452444,0.16429901123046875,7639
0.32499999999999996,0.037293858723506886,1e-09,149.0023,354.37587998021235,2821862,344928,75536,0,2614,0.034606015674645205,0.16709136962890625,8183
0.35,0.03510808284844282,1e-09,158.2568,376.3860877506755,2656846,344928,75536,0,2457,0.03252753653886888,0.17009735107421875,8767
0.37499999999999994,0.033284090566492806,1e-09,141.3423,336.1579112599414,2974792,344928,75536,0,2320,0.03071383181529337,0.17311859130859375,9355
0.39999999999999997,0.031550544182821307,1e-09,140.5555,334.2866452300316,2991444,344928,75536,0,2196,0.02907223045964838,0.1763458251953125,9982
0.42499999999999993,0.0297567005336308,1e-09,148.6437,353.52301267171504,2828670,344928,75536,0,2067,0.027364435500953188,0.17966461181640625,10628
0.44999999999999996,0.0283698634266936,1e-09,146.4502,348.3061570074965,2871037,344928,75536,0,1967,0.026040563439949163,0.18299102783203125,11274
0.475,0.027013174952515904,1e-09,144.1724,342.888808554359,2916397,344928,75536,0,1873,0.02479612370260538,0.18624114990234375,11907
0.49999999999999994,0.02565648647833821,1e-09,143.8162,342.0416492256174,2923620,344928,75536,0,1777,0.023525206524041515,0.1899566650390625,12630
0.525,0.024375169586059273,1e-09,153.9752,366.2030518665094,2730725,344928,75536,0,1687,0.022333721669137895,0.193878173828125,13392
0.5499999999999999,0.0231993729084386,1e-09,163.0646,387.8205981962784,2578511,344928,75536,0,1606,0.021261385299724635,0.1977691650390625,14149
0.575,0.021842684434260906,1e-09,129.1342,307.12308307013205,3256023,344928,75536,0,1511,0.020003706841770812,0.2017059326171875,14915
0.6,0.02062166480750098,1e-09,137.0136,325.8628562730697,3068775,344928,75536,0,1425,0.01886517686930735,0.20577239990234375,15705
0.625,0.01944586812988031,1e-09,132.693,315.5870657178736,3168697,344928,75536,0,1339,0.01772664689684389,0.21063995361328125,16652
0.65,0.01846603756519642,1e-09,130.4849,310.33548651014115,3222319,344928,75536,0,1269,0.016799936454141073,0.21559906005859375,17616
0.675,0.017471132684132775,1e-09,131.9556,313.8332889379352,3186405,344928,75536,0,1197,0.015846748570218176,0.220947265625,18656
0.7,0.016446079170309626,1e-09,131.23,312.1075763917957,3204023,344928,75536,0,1126,0.014906799406905317,0.22690582275390625,19816
0.725,0.01563206608580301,1e-09,154.7028,367.9335210624453,2717882,344928,75536,0,1068,0.014138953611522983,0.23387908935546875,21172
0.75,0.014727607103017877,1e-09,150.5271,358.0023497849994,2793277,344928,75536,0,1007,0.013331391654310527,0.24109649658203125,22575
0.775,0.013792999487473243,1e-09,157.2205,373.9214296586628,2674358,344928,75536,0,945,0.012510590976488033,0.248748779296875,24063
0.7999999999999999,0.01287346618830836,1e-09,154.9904,368.6175273031698,2712838,344928,75536,0,881,0.011663312857445457,0.25763702392578125,25792
0.825,0.011878561307244717,1e-09,133.9715,318.62775410023215,3138458,344928,75536,0,810,0.010723363694132598,0.26764678955078125,27739
0.85,0.01086858210980132,1e-09,133.3645,317.18411088702004,3152743,344928,75536,0,739,0.009783414530819741,0.279815673828125,30106
0.875,0.009707859748560402,0.00029500410996438116,129.0204,306.852429696716,3258895,344928,75536,0,684,0.009055284897267528,0.19129180908203125,32859
0.9,0.008728029183876511,0.0012831703645128426,129.0468,306.9152174740287,3258228,344928,75536,0,688,0.00910823977970769,0.1851043701171875,36371
0.9249999999999999,0.007431637975217824,0.002587592072290987,132.8118,315.86961071578065,3165863,344928,75536,0,681,0.009015568735437407,0.18585205078125,41157
0.95,0.00609002381741988,0.003933933933933934,134.204,319.1807146390654,3133021,344928,75536,0,709,0.009386252912518534,0.191192626953125,48158
